X,Y,COUNTY,CountyName,Permits 
-8845413.343,4279767.713,Alamance,Alamance,7
-8849832.726,4324617.573,Alamance,Alexander,7
-8849832.726,4324617.573,Alamance,Alleghany,9
-8828002.974,4282748.285,Alamance,Anson,21
-8830541.059,4306704.93,Alamance,Ashe,0
-8827635.62,4287447.434,Alamance,Avery,0
-8827635.62,4287447.434,Alamance,Beaufort,14
-9020829.928,4284873.093,Alexander,Bertie,6
-9042695.637,4286247.721,Alexander,Bladen,149
-9040149.203,4291424.61,Alexander,Brunswick,15
-9022966.372,4279710.719,Alexander,Buncombe,4
-9040399.672,4292960.942,Alexander,Burke,0
-9032606.306,4283268.389,Alexander,Cabarrus,2
-9031940.281,4280001.184,Alexander,Caldwell,1
-9036482.117,4377342.862,Alleghany,Camden,0
-9022233.222,4378340.694,Alleghany,Carteret,1
-9036426.457,4369875.932,Alleghany,Caswell,1
-9035457.977,4374058.988,Alleghany,Catawba,5
-9042014.695,4370831.52,Alleghany,Chatham,14
-9037840.214,4374945.674,Alleghany,Cherokee,1
-9036359.665,4373103.113,Alleghany,Chowan,9
-9017624.595,4376220.412,Alleghany,Clay,0
-9013661.621,4370139.057,Alleghany,Cleveland,4
-8912523.522,4170727.111,Anson,Columbus,50
-8936341.774,4188660.601,Anson,Craven,31
-8934114.828,4179786.65,Anson,Cumberland,24
-8916889.361,4142906.068,Anson,Currituck,0
-8910879.667,4151439.62,Anson,Dare,0
-8908313.753,4145382.187,Anson,Davidson,10
-8920617.562,4182161.417,Anson,Davie,2
-8920617.562,4182161.417,Anson,Duplin,518
-8920617.562,4182161.417,Anson,Durham,1
-8938399.96,4139752.467,Anson,Edgecombe,37
-8934004.733,4138800.987,Anson,Forsyth,0
-8932988.386,4138850.071,Anson,Franklin,9
-8932988.386,4138850.071,Anson,Gaston,7
-8932988.386,4138850.071,Anson,Gates,10
-8912949.876,4143935.49,Anson,Graham,0
-8938117.988,4166815.798,Anson,Granville,3
-8910636.323,4143485.945,Anson,Greene,103
-8924241.68,4143525.555,Anson,Guilford,13
-8910636.323,4143485.945,Anson,Halifax,11
-8912596.77,4169189.422,Anson,Harnett,16
-8918500.154,4185130.999,Anson,Haywood,11
-8586328.36,4231026.657,Beaufort,Henderson,2
-8582732.74,4230479.774,Beaufort,Hertford,7
-8558498.487,4241272.074,Beaufort,Hoke,14
-8564832.566,4206648.43,Beaufort,Hyde,3
-8585896.44,4224266.361,Beaufort,Iredell,64
-8585896.44,4224266.361,Beaufort,Jackson,0
-8584145.83,4216260.663,Beaufort,Johnston,67
-8536924.77,4244132.65,Beaufort,Jones,53
-8531436.719,4251212.023,Beaufort,Lee,1
-8539718.889,4248363.292,Beaufort,Lenoir,71
-8539718.889,4248363.292,Beaufort,Lincoln,16
-8532839.344,4254842.49,Beaufort,Macon,0
-8528553.544,4242982.855,Beaufort,Madison,0
-8575307.73,4221787.99,Beaufort,Martin,3
-8578279.961,4320357.188,Bertie,McDowell,0
-8575819.021,4320551.558,Bertie,Mecklenburg,0
-8599269.696,4325887.466,Bertie,Mitchell,0
-8591081.702,4333930.088,Bertie,Montgomery,3
-8587218.916,4299286.749,Bertie,Moore,10
-8574572.131,4311445.176,Bertie,Nash,31
-8751537.282,4098913.974,Bladen,New Hanover,0
-8756304.539,4105251.97,Bladen,Northampton,23
-8765918.758,4102591.434,Bladen,Onslow,57
-8732160.9,4129950.836,Bladen,Orange,3
-8738244.733,4134115.147,Bladen,Pamlico,2
-8763072.764,4102582.784,Bladen,Pasquotank,3
-8762497.243,4103123.815,Bladen,Pender,68
-8754104.977,4107074.55,Bladen,Perquimans,9
-8762800.366,4093246.089,Bladen,Person,13
-8762800.366,4093246.089,Bladen,Pitt,50
-8747751.418,4095967.901,Bladen,Polk,1
-8747751.418,4095967.901,Bladen,Randolph,31
-8747751.418,4095967.901,Bladen,Richmond,13
-8747751.418,4095967.901,Bladen,Robeson,54
-8737500.228,4100377.841,Bladen,Rockingham,5
-8753304.145,4099421.861,Bladen,Rowan,14
-8744299.066,4120821.09,Bladen,Rutherford,0
-8744069.859,4116491.213,Bladen,Sampson,463
-8743181.53,4095995.591,Bladen,Scotland,18
-8743181.53,4095995.591,Bladen,Stanly,5
-8743181.53,4095995.591,Bladen,Stokes,2
-8739461.232,4141667.604,Bladen,Surry,6
-8739461.232,4141667.604,Bladen,Swain,0
-8739461.232,4141667.604,Bladen,Transylvania,0
-8765003.49,4130903.865,Bladen,Tyrrell,1
-8765003.49,4130903.865,Bladen,Union,4
-8765003.49,4130903.865,Bladen,Vance,0
-8759694.774,4109520.172,Bladen,Wake,3
-8759127.713,4108952.193,Bladen,Warren,8
-8758771.824,4108342.594,Bladen,Washington,5
-8758009.843,4108201.693,Bladen,Watauga,0
-8757999.045,4107670.288,Bladen,Wayne,158
-8757102.589,4108243.071,Bladen,Wilkes,9
-8772639.45,4139020.646,Bladen,Wilson,7
-8771999.92,4138019.606,Bladen,Yadkin,10
-8771195.08,4116105.826,Bladen,Yancey,0
-8771195.08,4121627.4,Bladen,,
-8763422.864,4108587.755,Bladen,,
-8725417.054,4085488.352,Bladen,,
-8770253.428,4111655.22,Bladen,,
-8766585.451,4097502.173,Bladen,,
-8774629.509,4105860.32,Bladen,,
-8773904.707,4108289.587,Bladen,,
-8731167.04,4131518.08,Bladen,,
-8762782.109,4112798.245,Bladen,,
-8758998.471,4123673.759,Bladen,,
-8777967.312,4094813.08,Bladen,,
-8749627.485,4107481.666,Bladen,,
-8744216.467,4092353.367,Bladen,,
-8743951.749,4092941.17,Bladen,,
-8776080.113,4098707.259,Bladen,,
-8769926.594,4093605.439,Bladen,,
-8761898.344,4107053.863,Bladen,,
-8760026.952,4104943.752,Bladen,,
-8734423.469,4125873.532,Bladen,,
-8723702.734,4120352.98,Bladen,,
-8777164.81,4130184.14,Bladen,,
-8772187.938,4125451.528,Bladen,,
-8770458.145,4143243.682,Bladen,,
-8770107.488,4138568.723,Bladen,,
-8768733.36,4142383.864,Bladen,,
-8757980.232,4131283.257,Bladen,,
-8757980.232,4131283.257,Bladen,,
-8757980.232,4131283.257,Bladen,,
-8751653.834,4137325.046,Bladen,,
-8750844.875,4141697.035,Bladen,,
-8743557.233,4139336.99,Bladen,,
-8743557.233,4139336.99,Bladen,,
-8743557.233,4139336.99,Bladen,,
-8742030.932,4142010.47,Bladen,,
-8738788.974,4139446.688,Bladen,,
-8772430.392,4106913.789,Bladen,,
-8768952.549,4095626.44,Bladen,,
-8748932.963,4092029.704,Bladen,,
-8748757.634,4098422.053,Bladen,,
-8742766.531,4094483.268,Bladen,,
-8735788.357,4099446.992,Bladen,,
-8734510.298,4101563.91,Bladen,,
-8738023.43,4103946.021,Bladen,,
-8748499.151,4104970.382,Bladen,,
-8748375.809,4104206.631,Bladen,,
-8747297.568,4104244.614,Bladen,,
-8747341.428,4101613.102,Bladen,,
-8747137.045,4100446.08,Bladen,,
-8774542.679,4129329.256,Bladen,,
-8745566.773,4136793.749,Bladen,,
-8736775.984,4137606.77,Bladen,,
-8763211.914,4137060.411,Bladen,,
-8738476.723,4121408.894,Bladen,,
-8737868.139,4120858.047,Bladen,,
-8750073.097,4093778.028,Bladen,,
-8747586.665,4130978.388,Bladen,,
-8741335.185,4102492.367,Bladen,,
-8741266.501,4103273.302,Bladen,,
-8727728.158,4126514.965,Bladen,,
-8774931.073,4129724.852,Bladen,,
-8774203.155,4124351.493,Bladen,,
-8738653.832,4120636.849,Bladen,,
-8731662.412,4089599.489,Bladen,,
-8731662.412,4089599.489,Bladen,,
-8762897.102,4128555.851,Bladen,,
-8749909.235,4132086.12,Bladen,,
-8748897.786,4135555.963,Bladen,,
-8748591.657,4132238.569,Bladen,,
-8748463.64,4131882.045,Bladen,,
-8775179.65,4101429.986,Bladen,,
-8775179.65,4101429.986,Bladen,,
-8771788.746,4108520.278,Bladen,,
-8760997.324,4113516.99,Bladen,,
-8759623.085,4114681.04,Bladen,,
-8759066.265,4113386.711,Bladen,,
-8750858.79,4095381.021,Bladen,,
-8749718.433,4090203.619,Bladen,,
-8746621.302,4094421.008,Bladen,,
-8729511.162,4102494.529,Bladen,,
-8725531.825,4098724.147,Bladen,,
-8738323.659,4133495.775,Bladen,,
-8736520.283,4131403.31,Bladen,,
-8736395.605,4130787.476,Bladen,,
-8738476.723,4121408.894,Bladen,,
-8751367.186,4107355.514,Bladen,,
-8745552.301,4121297.206,Bladen,,
-8757901.64,4127540.712,Bladen,,
-8756573.821,4119750.206,Bladen,,
-8754889.78,4143036.826,Bladen,,
-8754766.772,4121726.636,Bladen,,
-8754410.883,4121059.89,Bladen,,
-8749727.116,4128847.514,Bladen,,
-8746193.279,4141789.396,Bladen,,
-8737350.838,4139423.636,Bladen,,
-8748245.899,4101845.818,Bladen,,
-8745418.384,4108673.488,Bladen,,
-8745312.074,4096774.185,Bladen,,
-8743710.854,4106764.389,Bladen,,
-8743420.867,4101686.754,Bladen,,
-8741738.941,4096785.802,Bladen,,
-8741717.678,4095737.467,Bladen,,
-8739848.736,4097272.924,Bladen,,
-8736198.347,4096180.644,Bladen,,
-8740641.887,4097469.616,Bladen,,
-8722076.579,4112530.672,Bladen,,
-8722076.579,4112530.672,Bladen,,
-8722076.579,4112530.672,Bladen,,
-8772410.021,4104668.525,Bladen,,
-8734849.489,4137508.884,Bladen,,
-8743394.261,4136431.116,Bladen,,
-8730256.669,4130275.323,Bladen,,
-8726884.913,4125679.457,Bladen,,
-8772504.865,4109478.925,Bladen,,
-8739325.868,4047051.257,Brunswick,,
-8739823.132,4047564.217,Brunswick,,
-8699824.369,4041842.674,Brunswick,,
-8699067.508,4042268.957,Brunswick,,
-8706664.729,4037492.968,Brunswick,,
-8706108.132,4037788.603,Brunswick,,
-8735706.76,4042906.732,Brunswick,,
